[ 2024-11-21 14:02:00,996 ] 74 dagshub.auth.tokens - INFO - Removed expired tokens from the token cache
[ 2024-11-21 14:02:06,442 ] 1038 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2024-11-21 14:02:07,110 ] 1038 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2024-11-21 14:02:07,764 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2024-11-21 14:02:07,770 ] 107 dagshub - INFO - Accessing as aadhil.imam
[ 2024-11-21 14:02:08,442 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/aadhil.imam/MLops-ETL-Network-Project "HTTP/1.1 200 OK"
[ 2024-11-21 14:02:09,121 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2024-11-21 14:02:09,124 ] 107 dagshub - INFO - Initialized MLflow to track repo "aadhil.imam/MLops-ETL-Network-Project"
[ 2024-11-21 14:02:09,125 ] 107 dagshub - INFO - Repository aadhil.imam/MLops-ETL-Network-Project initialized!
[ 2024-11-21 14:02:09,126 ] 20 root - INFO - Initiate the data ingestion
[ 2024-11-21 14:02:34,432 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-11-21 14:02:34,432 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-21 14:02:34,433 ] 75 root - INFO - Exporting train and test file path.
[ 2024-11-21 14:02:34,503 ] 84 root - INFO - Exported train and test file path.
[ 2024-11-21 14:02:34,504 ] 22 root - INFO - Data Initiation Completed
[ 2024-11-21 14:02:34,524 ] 27 root - INFO - Initiate the data Validation
[ 2024-11-21 14:02:34,590 ] 32 root - INFO - Required number of columns:2
[ 2024-11-21 14:02:34,590 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-21 14:02:34,591 ] 32 root - INFO - Required number of columns:2
[ 2024-11-21 14:02:34,591 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-21 14:02:34,750 ] 29 root - INFO - data Validation Completed
[ 2024-11-21 14:02:34,750 ] 33 root - INFO - data Transformation started
[ 2024-11-21 14:02:34,750 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-11-21 14:02:34,750 ] 65 root - INFO - Starting data transformation
[ 2024-11-21 14:02:34,779 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-11-21 14:02:34,780 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-21 14:02:34,809 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-21 14:02:34,826 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-21 14:02:34,826 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-21 14:02:34,840 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-21 14:02:34,842 ] 37 root - INFO - data Transformation completed
[ 2024-11-21 14:02:34,842 ] 39 root - INFO - Model Training sstared
